,p_id,p_name,p_href,p_level,p_answer_people,try_count,category
19093,30605,Jumping Frogs,https://www.acmicpc.net/problem/30605,14,7,1.14,
19094,30622,Rush & Slash,https://www.acmicpc.net/problem/30622,14,65,1.82,
19095,30627,삼월 초하루,https://www.acmicpc.net/problem/30627,14,50,1.62,
19096,30650,Labirint,https://www.acmicpc.net/problem/30650,14,7,1.14,
19097,30712,Сауна,https://www.acmicpc.net/problem/30712,14,1,1.00,
19098,30799,가희와 터널,https://www.acmicpc.net/problem/30799,14,24,1.00,
19099,30851,Непредусмотрительные спелеологи,https://www.acmicpc.net/problem/30851,14,2,3.50,
19100,30858,Magic Cards,https://www.acmicpc.net/problem/30858,14,58,2.76,
19101,30898,Arranging Adapters,https://www.acmicpc.net/problem/30898,14,14,1.43,
19102,30903,Fixing Fractions,https://www.acmicpc.net/problem/30903,14,13,3.23,
19103,30909,Lateral Damage,https://www.acmicpc.net/problem/30909,14,14,1.79,
19104,30910,머리 묶기,https://www.acmicpc.net/problem/30910,14,48,2.46,
19105,30942,Kuglice,https://www.acmicpc.net/problem/30942,14,8,2.00,
19106,30982,폭탄주를 피해라! 파란댕댕이!,https://www.acmicpc.net/problem/30982,14,55,3.42,
19107,31002,그래프 변환,https://www.acmicpc.net/problem/31002,14,131,2.97,
19108,31004,Finding Array Tutorial,https://www.acmicpc.net/problem/31004,14,85,1.81,
19109,31057,Flight Routes,https://www.acmicpc.net/problem/31057,14,28,1.21,
19110,31060,Bovine Acrobatics,https://www.acmicpc.net/problem/31060,14,35,1.74,
19111,31065,Farmer John Actually Farms,https://www.acmicpc.net/problem/31065,14,62,2.47,
19112,31092,스티커 재배치,https://www.acmicpc.net/problem/31092,14,98,1.94,
19113,31177,Klee in Solitary Confinement,https://www.acmicpc.net/problem/31177,14,7,3.43,
19114,31206,РАЗДЕЛЯЙ и ВЛАДЕЙ 2.0,https://www.acmicpc.net/problem/31206,14,7,1.71,
19115,31207,ЕКСПЕДИЦИЯ,https://www.acmicpc.net/problem/31207,14,3,2.67,
19116,31208,ЕКИПИРОВКА,https://www.acmicpc.net/problem/31208,14,2,1.50,
19117,31233,관광 상품,https://www.acmicpc.net/problem/31233,14,92,1.73,
19118,31265,훈련,https://www.acmicpc.net/problem/31265,14,55,2.73,
19119,31302,Digit Translation,https://www.acmicpc.net/problem/31302,14,2,1.00,
19120,31406,트리 탐색기 (Easy),https://www.acmicpc.net/problem/31406,14,76,1.75,
19121,1016,제곱 ㄴㄴ 수,https://www.acmicpc.net/problem/1016,15,"8,480",4.59,
19122,1019,책 페이지,https://www.acmicpc.net/problem/1019,15,"4,325",2.36,
19123,1029,그림 교환,https://www.acmicpc.net/problem/1029,15,"1,217",3.54,
19124,1035,조각 움직이기,https://www.acmicpc.net/problem/1035,15,586,2.23,
19125,1036,36진수,https://www.acmicpc.net/problem/1036,15,"1,029",4.14,
19126,1045,도로,https://www.acmicpc.net/problem/1045,15,365,3.47,
19127,1053,팰린드롬 공장,https://www.acmicpc.net/problem/1053,15,455,2.61,
19128,1060,좋은 수,https://www.acmicpc.net/problem/1060,15,227,4.65,
19129,1081,합,https://www.acmicpc.net/problem/1081,15,949,2.38,
19130,1113,수영장 만들기,https://www.acmicpc.net/problem/1113,15,"1,253",2.68,
19131,1114,통나무 자르기,https://www.acmicpc.net/problem/1114,15,778,4.45,
19132,1115,순열,https://www.acmicpc.net/problem/1115,15,200,2.07,
19133,1139,울타리,https://www.acmicpc.net/problem/1139,15,110,2.35,
19134,1175,배달,https://www.acmicpc.net/problem/1175,15,756,3.29,
19135,1176,섞기,https://www.acmicpc.net/problem/1176,15,194,2.51,
19136,1194,"달이 차오른다, 가자.",https://www.acmicpc.net/problem/1194,15,"4,728",2.61,
19137,1208,부분수열의 합 2,https://www.acmicpc.net/problem/1208,15,"4,932",4.03,
19138,1230,문자열 거리,https://www.acmicpc.net/problem/1230,15,111,3.17,
19139,1242,소풍,https://www.acmicpc.net/problem/1242,15,395,3.09,
19140,1275,커피숍2,https://www.acmicpc.net/problem/1275,15,"4,427",3.25,
19141,1285,동전 뒤집기,https://www.acmicpc.net/problem/1285,15,"1,752",2.25,
19142,1300,K번째 수,https://www.acmicpc.net/problem/1300,15,"11,221",2.65,
19143,1311,할 일 정하기 1,https://www.acmicpc.net/problem/1311,15,"1,483",2.46,
19144,1352,문자열,https://www.acmicpc.net/problem/1352,15,140,2.83,
19145,1415,사탕,https://www.acmicpc.net/problem/1415,15,431,5.81,
19146,1433,화학 실험,https://www.acmicpc.net/problem/1433,15,28,4.39,
19147,1441,나누어 질까,https://www.acmicpc.net/problem/1441,15,192,2.96,
19148,1443,망가진 계산기,https://www.acmicpc.net/problem/1443,15,193,2.82,
19149,1450,냅색문제,https://www.acmicpc.net/problem/1450,15,"2,543",2.55,
19150,1457,정확해,https://www.acmicpc.net/problem/1457,15,62,2.24,
19151,1470,올림픽 게임,https://www.acmicpc.net/problem/1470,15,29,7.93,
19152,1480,보석 모으기,https://www.acmicpc.net/problem/1480,15,378,2.53,
19153,1489,대결,https://www.acmicpc.net/problem/1489,15,223,2.62,
19154,1499,뒤집기 수열,https://www.acmicpc.net/problem/1499,15,23,5.04,
19155,1509,팰린드롬 분할,https://www.acmicpc.net/problem/1509,15,"4,031",2.12,
19156,1562,계단 수,https://www.acmicpc.net/problem/1562,15,"4,691",1.96,
19157,1587,이분 매칭,https://www.acmicpc.net/problem/1587,15,165,2.02,
19158,1588,수열,https://www.acmicpc.net/problem/1588,15,124,3.22,
19159,1615,교차개수세기,https://www.acmicpc.net/problem/1615,15,566,5.17,
